Average of valor_unitario_suelo,uso_construccion
7833.442867698666,O
7336.692185534576,K
7105.597417910451,L
6967.00012044087,J
6512.482991398348,PE
5570.758695309405,D
5435.600305698358,C
5302.780798410755,I
5275.24,P
5149.382992374924,S
5055.340843285764,A
4793.548723723725,PC
4287.640470531563,Q
4073.8475553967137,E
3205.194374718949,H
2183.1715701334983,W
1746.5656578947367,0
524.2522994863644,X
1,189.41
