alcaldia_cumplimiento,colonia_cumpliemiento,Average of valor_unitario_suelo
GUSTAVO A. MADERO,LINDAVISTA NORTE,3663.342454
GUSTAVO A. MADERO,LINDAVISTA SUR,4180.09338
GUSTAVO A. MADERO,LINDAVISTA VALLEJO 1A SECCION,4214.41
GUSTAVO A. MADERO,LINDAVISTA VALLEJO 2A SECCION,4447.438625
GUSTAVO A. MADERO,LINDAVISTA VALLEJO 3A SECCION,4253.984274
GUSTAVO A. MADERO,LOMA LA PALMA,635.32
GUSTAVO A. MADERO,LOMAS DE CUAUTEPEC,636.346384
GUSTAVO A. MADERO,LUIS DONALDO COLOSIO,845.1194146
GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS,3268.451344
GUSTAVO A. MADERO,MALACATES,779.1568839
GUSTAVO A. MADERO,MARTIN CARRERA,2425.71
GUSTAVO A. MADERO,MARTIRES DE RIO BLANCO,1981.83
GUSTAVO A. MADERO,MAXIMINO AVILA CAMACHO,2781.412183
GUSTAVO A. MADERO,MONTEVIDEO,3663.723194
GUSTAVO A. MADERO,NARCISO BASSOLS,2233.44
GUSTAVO A. MADERO,NUEVA ATZACOALCO,1803.02
GUSTAVO A. MADERO,NUEVA INDUSTRIAL VALLEJO,4341.346004
GUSTAVO A. MADERO,NUEVA TENOCHTITLAN,2063.878203
GUSTAVO A. MADERO,NUEVA VALLEJO,2869.958848
GUSTAVO A. MADERO,PALMATITLA,694.0124084
GUSTAVO A. MADERO,PANAMERICANA,2611.56
GUSTAVO A. MADERO,PARQUE METROPOLITANO,635.32
GUSTAVO A. MADERO,PLANETARIO LINDAVISTA,3272.07263
GUSTAVO A. MADERO,PRADERA 2A SECCION,2007.107503
GUSTAVO A. MADERO,PRADOS DE CUAUTEPEC,635.32
GUSTAVO A. MADERO,PROGRESO NACIONAL,2202.684381
GUSTAVO A. MADERO,PROVIDENCIA,2048.54
GUSTAVO A. MADERO,PUEBLO DE SANTIAGO ATZACOALCO,1948.5
GUSTAVO A. MADERO,PUEBLO SAN JUAN DE ARAGON,2252.96
GUSTAVO A. MADERO,RESIDENCIAL ACUEDUCTO DE GUADALUPE,3093.31
GUSTAVO A. MADERO,RESIDENCIAL LA ESCALERA,2747.95
GUSTAVO A. MADERO,RESIDENCIAL ZACATENCO,2441.557069
GUSTAVO A. MADERO,ROSAS DEL TEPEYAC,2277.395474
GUSTAVO A. MADERO,SALVADOR DIAZ MIRON,2425.71
GUSTAVO A. MADERO,SAN ANTONIO,635.32
GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,3073.05162
GUSTAVO A. MADERO,SAN FELIPE DE JESUS,1980.55
GUSTAVO A. MADERO,SAN JOSE DE LA ESCALERA,1918.44
GUSTAVO A. MADERO,SAN JOSE TICOMAN,3067.318483
GUSTAVO A. MADERO,SAN JUAN DE ARAGON,2674.9925
GUSTAVO A. MADERO,SAN JUAN DE ARAGON I SECCION,2652.55
GUSTAVO A. MADERO,SAN JUAN DE ARAGON II SECCION,2652.55
GUSTAVO A. MADERO,SAN JUAN DE ARAGON III SECCION,2677.35
GUSTAVO A. MADERO,SAN JUAN DE ARAGON IV SECCION,2581.65
GUSTAVO A. MADERO,SAN JUAN DE ARAGON V SECCION,2612.547003
GUSTAVO A. MADERO,SAN JUAN DE ARAGON VI SECCION,2598.54
GUSTAVO A. MADERO,SAN JUAN DE ARAGON VII SECCION,2598.54
GUSTAVO A. MADERO,SAN MIGUEL,938.48
GUSTAVO A. MADERO,SAN PEDRO EL CHICO,1981.83
GUSTAVO A. MADERO,SAN PEDRO ZACATENCO,2125.204839
GUSTAVO A. MADERO,SANTA ISABEL TOLA,2259.57
GUSTAVO A. MADERO,SANTA MARIA TICOMAN,2095.859841
GUSTAVO A. MADERO,SANTA ROSA,1918.44
GUSTAVO A. MADERO,SANTIAGO ATEPETLAC,1953.829644
GUSTAVO A. MADERO,SIETE MARAVILLAS,2716.99
GUSTAVO A. MADERO,SOLIDARIDAD NACIONAL,921.8779195
GUSTAVO A. MADERO,TABLAS DE SAN AGUSTIN,1981.83
GUSTAVO A. MADERO,TEPETATES,2259.57
GUSTAVO A. MADERO,TEPEYAC INSURGENTES,3238.494392
GUSTAVO A. MADERO,TLACAELEL,635.32
GUSTAVO A. MADERO,TLACAMACA,2889.491848
GUSTAVO A. MADERO,TLALPEXCO,672.9
GUSTAVO A. MADERO,TORRES LINDAVISTA,4399.587944
GUSTAVO A. MADERO,TRES ESTRELLAS,1981.83
GUSTAVO A. MADERO,TRIUNFO DE LA REPUBLICA,1975.423333
GUSTAVO A. MADERO,VALLE DE MADERO,925.4608589
GUSTAVO A. MADERO,VALLE DEL TEPEYAC,3001.218679
GUSTAVO A. MADERO,VALLEJO,3994.322107
GUSTAVO A. MADERO,VALLEJO PONIENTE,2611.56
GUSTAVO A. MADERO,VASCO DE QUIROGA,2322.051838
GUSTAVO A. MADERO,VILLA DE ARAGON,2397.405806
GUSTAVO A. MADERO,VILLA GUSTAVO A MADERO,2263.506631
GUSTAVO A. MADERO,VISTA HERMOSA,672.9
GUSTAVO A. MADERO,ZONA ESCOLAR,938.48
GUSTAVO A. MADERO,ZONA ESCOLAR ORIENTE,1164.845942
GUSTAVO A. MADERO,ZONA RUSTICA,657.3701852
IZTACALCO,AGRICOLA ORIENTAL,2789.917328
IZTACALCO,AGRICOLA PANTITLAN,2369.237711
IZTACALCO,AMPLIACION GABRIEL RAMOS MILLAN,2370.621988
IZTACALCO,BARRIO LA ASUNCION,2552.061714
IZTACALCO,BARRIO LOS REYES,2095.233221
IZTACALCO,BARRIO SAN FRANCISCO XICALTONGO,2905.445094
IZTACALCO,BARRIO SAN MIGUEL,2154.964954
IZTACALCO,BARRIO SAN PEDRO,2179.911195
IZTACALCO,BARRIO SANTA CRUZ,2850.05
IZTACALCO,BARRIO SANTIAGO NORTE,2886.066545
IZTACALCO,BARRIO SANTIAGO SUR,2850.05
IZTACALCO,BARRIO ZAPOTLA,3162.921842
IZTACALCO,CAMPAMENTO 2 DE OCTUBRE,2341.770223
IZTACALCO,CARLOS ZAPATA VELA,1831.33
IZTACALCO,CUCHILLA AGRICOLA ORIENTAL,1881.9
IZTACALCO,EL RODEO,2327.740814
IZTACALCO,EX-EJIDO LA MAGDALENA MIXHUCA,2361.351067
IZTACALCO,FRACCIONAMIENTO COYUYA,2199.05106
IZTACALCO,GABRIEL RAMOS MILLAN,2325.043196
IZTACALCO,GABRIEL RAMOS MILLAN SECC TLACOTAL,2414.631858
IZTACALCO,GABRIEL RAMOS MILLAN SECCION BRAMADERO,2362.060537
IZTACALCO,GABRIEL RAMOS MILLAN SECCION CUCHILLA,2210.897146
IZTACALCO,GRANJAS MEXICO,3178.936388
IZTACALCO,INFONAVIT IZTACALCO,2516.87
IZTACALCO,INPI PICOS,2516.87
IZTACALCO,JARDINES TECMA,2337.97
IZTACALCO,JUVENTINO ROSAS,2367.889508
IZTACALCO,LA CRUZ,2171.180622
IZTACALCO,LOS PICOS DE IZTACALCO SECCION 1 A,2020.858913
IZTACALCO,LOS PICOS DE IZTACALCO SECCION 1 B,2516.87
IZTACALCO,LOS PICOS DE IZTACALCO SECCION 2 A,2502.189911
IZTACALCO,MILITAR MARTE,2967.59
IZTACALCO,NUEVA SANTA ANITA,2157.294984
IZTACALCO,REFORMA IZTACCIHUATL NORTE,2704
IZTACALCO,REFORMA IZTACCIHUATL SUR,2967.59
IZTACALCO,SANTA ANITA,2256.53347
IZTACALCO,TLAZINTLA,2665.186923
IZTACALCO,VIADUCTO PIEDAD,2760.251464
IZTAPALAPA,12 DE DICIEMBRE,1460.53
IZTAPALAPA,AÃ¯Â¿Â½O DE JUAREZ,1473.25872
IZTAPALAPA,ALBARRADA,2598.35
IZTAPALAPA,ALLAPETLALLI,1145.91
IZTAPALAPA,ALVARO OBREGON,1290.96
IZTAPALAPA,AMPLIACION BELLAVISTA,1405.11
IZTAPALAPA,AMPLIACION EL SANTUARIO,1742.935525
IZTAPALAPA,AMPLIACION EL TRIUNFO,2718.98
IZTAPALAPA,AMPLIACION EMILIANO ZAPATA,646.8664841
IZTAPALAPA,AMPLIACION LOS REYES,1744.441925
IZTAPALAPA,AMPLIACION PARAJE SAN JUAN,1794.64
IZTAPALAPA,AMPLIACION RICARDO FLORES MAGON,2396.583012
IZTAPALAPA,AMPLIACION SAN MIGUEL,2598.35
IZTAPALAPA,AMPLIACION SANTA MARIA AZTAHUACAN,1150.218024
IZTAPALAPA,AMPLIACION SINATEL,2662.33
IZTAPALAPA,AMPLIACION VERACRUZANA,1460.53
IZTAPALAPA,APATLACO,2718.98
IZTAPALAPA,BANJIDAL,2721.88659
IZTAPALAPA,BARRANCA DE GUADALUPE,201.73
IZTAPALAPA,BARRIO GUADALUPE,1503.345595
IZTAPALAPA,BARRIO LA ASUNCION,2283.45
IZTAPALAPA,BARRIO SAN ANTONIO,1412.16809
IZTAPALAPA,BARRIO SAN ANTONIO CULHUACAN,1516.888094
IZTAPALAPA,BARRIO SAN IGNACIO,2283.45
IZTAPALAPA,BARRIO SAN JOSE,2292.533279
IZTAPALAPA,BARRIO SAN LORENZO,1415.951372
IZTAPALAPA,BARRIO SAN LUCAS,2499.544816
IZTAPALAPA,BARRIO SAN MIGUEL,2400.971867
IZTAPALAPA,BARRIO SAN PABLO,2706.639981
IZTAPALAPA,BARRIO SAN PEDRO,2674.149326
IZTAPALAPA,BARRIO SAN SIMON CULHUACAN,1460.53
IZTAPALAPA,BARRIO SANTA BARBARA,2333.607851
IZTAPALAPA,BARRIO TULA,1516.89276
IZTAPALAPA,BELLAVISTA,1405.11
IZTAPALAPA,BENITO JUAREZ,1405.11
IZTAPALAPA,BUENAVISTA,879.8775551
IZTAPALAPA,CACAMA,2837.390174
IZTAPALAPA,CAMPESTRE POTRERO,451.6093036
IZTAPALAPA,CANANEA,1437.29
IZTAPALAPA,CARLOS HANK GONZALEZ,965.0563259
IZTAPALAPA,CARLOS JONGUITUD BARRIOS,1405.11
IZTAPALAPA,CASA BLANCA,1405.11
IZTAPALAPA,CELOALLIOTLI,1145.91
IZTAPALAPA,CENTRAL DE ABASTO,2868.62016
IZTAPALAPA,CERRO DE LA ESTRELLA,1620.735216
IZTAPALAPA,CHINAMPAC DE JUAREZ,1369.964753
IZTAPALAPA,CITLALLI,1264.770532
IZTAPALAPA,COLONIAL IZTAPALAPA,2655.275796
IZTAPALAPA,CONSEJO AGRARISTA MEXICANO,1577.721111
IZTAPALAPA,CONSTITUCION DE 1917,2542.179221
IZTAPALAPA,CUCHILLA DEL MORAL,2796.558204
IZTAPALAPA,DEGOLLADO,909.5
IZTAPALAPA,DEGOLLADO-MEXICATLALLI,216.6710285
IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL,1083.564592
IZTAPALAPA,DR ALFONSO ORTIZ TIRADO,3393.522337
IZTAPALAPA,EJERCITO DE AGUA PRIETA,1290.96
IZTAPALAPA,EJERCITO DE ORIENTE,1581.889908
IZTAPALAPA,EJERCITO DE ORIENTE ZONA PEÃ¯Â¿Â½ON,2300.6
IZTAPALAPA,EJERCITO DE ORIENTE ZONA PEï¿½ON,2300.6
IZTAPALAPA,EL EDEN,1087.8
IZTAPALAPA,EL MANTO,1732.023567
IZTAPALAPA,EL MIRADOR,1460.53
IZTAPALAPA,EL MOLINO,1684.761844
IZTAPALAPA,EL MOLINO TEZONCO,1145.91
IZTAPALAPA,EL PARAISO,1299.697598
IZTAPALAPA,EL PRADO,2798.313032
IZTAPALAPA,EL RETOÃ¯Â¿Â½O,2956.772609
IZTAPALAPA,EL RETOï¿½O,3425.54439
IZTAPALAPA,EL RODEO,1405.11
IZTAPALAPA,EL ROSARIO,1410.136344
IZTAPALAPA,EL SANTUARIO,2941.125293
IZTAPALAPA,EL SIFON,2935.205878
IZTAPALAPA,EL TRIANGULO,1657.816107
IZTAPALAPA,EL TRIUNFO,2718.98
IZTAPALAPA,EL VERGEL,1554.393939
IZTAPALAPA,ERMITA ZARAGOZA,1885.056797
IZTAPALAPA,ESCUADRON 201,2196.407308
IZTAPALAPA,ESTADO DE VERACRUZ,1460.53
IZTAPALAPA,ESTRELLA CULHUACAN,1460.53
IZTAPALAPA,ESTRELLA DEL SUR,1723.014109
IZTAPALAPA,EVA SAMANO DE LOPEZ MATEOS,2598.35
IZTAPALAPA,FRANCISCO VILLA,1787.352947
IZTAPALAPA,FUEGO NUEVO,1460.53
IZTAPALAPA,GRANJAS DE SAN ANTONIO,2246.648734
IZTAPALAPA,GRANJAS ESMERALDA,2199.918579
IZTAPALAPA,GRANJAS ESTRELLA,1594.125288
IZTAPALAPA,GUADALUPE DEL MORAL,2330.591029
IZTAPALAPA,HEROES DE CHURUBUSCO,2269.260049
IZTAPALAPA,INSURGENTES,1138.001959
IZTAPALAPA,IXTLAHUACAN,725.0592548
IZTAPALAPA,JACARANDAS,1984.421676
IZTAPALAPA,JARDINES DE CHURUBUSCO,2444.023156
IZTAPALAPA,JARDINES DE SAN LORENZO TEZONCO,1145.91
IZTAPALAPA,JOSE LOPEZ PORTILLO,1405.11
IZTAPALAPA,JOSE MARIA MORELOS Y PAVON,1290.96
IZTAPALAPA,JUAN ESCUTIA,2301.097399
IZTAPALAPA,JUSTO SIERRA,2689.955952
IZTAPALAPA,LA ERA,1972.411833
IZTAPALAPA,LA ESPERANZA,1824.98963
IZTAPALAPA,LA PLANTA,1145.91
IZTAPALAPA,LA REGADERA,2556.808443
IZTAPALAPA,LAS PEÃ¯Â¿Â½AS,1632.620834
IZTAPALAPA,LAS PEï¿½AS,1652.36
IZTAPALAPA,LEYES DE REFORMA 1A SECCION,1855.99
IZTAPALAPA,LEYES DE REFORMA 2A SECCION,1545.8
IZTAPALAPA,LEYES DE REFORMA 3A SECCION,2013.424928
IZTAPALAPA,LOMAS DE LA ESTANCIA,687.1244584
IZTAPALAPA,LOMAS DE SAN LORENZO,1445.172962
IZTAPALAPA,LOMAS DE STA CRUZ,1040.95915
IZTAPALAPA,LOMAS DE ZARAGOZA,815.1950107
IZTAPALAPA,LOMAS EL MANTO,1460.53
IZTAPALAPA,LOMAS ESTRELLA,2974.827719
IZTAPALAPA,LOS ANGELES,2136.446539
IZTAPALAPA,LOS ANGELES APANOAYA,2094.29
IZTAPALAPA,LOS CIPRESES,2187.252171
IZTAPALAPA,LOS PICOS,1955.51
IZTAPALAPA,MIGUEL DE LA MADRID HURTADO,740.82
IZTAPALAPA,MINERVA,2233.826282
IZTAPALAPA,MIRAVALLES,470.0770738
IZTAPALAPA,MIXCOATL,1134.53
IZTAPALAPA,MONTE ALBAN,1087.8
IZTAPALAPA,NUEVA ROSITA,2455.34
IZTAPALAPA,PALMITAS,1108.55
IZTAPALAPA,PARAJE SAN JUAN,1744.82
IZTAPALAPA,PARAJE SAN JUAN CERRO,1709.872534
IZTAPALAPA,PARAJE ZACATEPEC,1126.753008
IZTAPALAPA,PARQUE NACIONAL CERRO DE LA ESTRELLA,1460.53
IZTAPALAPA,PASEOS DE CHURUBUSCO,3608.686947
IZTAPALAPA,PLAN DE IGUALA,1460.53
IZTAPALAPA,POLVORILLA,678.2197785
IZTAPALAPA,PRESIDENTES DE MEXICO,1981.832205
IZTAPALAPA,PROGRESISTA,2598.35
IZTAPALAPA,PROGRESO DEL SUR,2185.548971
IZTAPALAPA,PUEBLO ACULCO,2322.65
IZTAPALAPA,PUEBLO CULHUACAN,1555.725971
IZTAPALAPA,PUEBLO LOS REYES CULHUACAN,1837.812847
IZTAPALAPA,PUEBLO MAGDALENA ATLAZOLPA,2696.931815
IZTAPALAPA,PUEBLO MEXICALTZINGO,2409.003584
IZTAPALAPA,PUEBLO SAN ANDRES TOMATLAN,1460.53
IZTAPALAPA,PUEBLO SAN JUANICO NEXTIPAC,2532.051646
IZTAPALAPA,PUEBLO SAN LORENZO TEZONCO,1456.348455
IZTAPALAPA,PUEBLO SAN LORENZO XICOTENCATL,1253.416406
IZTAPALAPA,PUEBLO SAN SEBASTIAN TECOLOXTITLA,1087.8
IZTAPALAPA,PUEBLO SANTA MARIA AZTAHUACAN,1132.8845
IZTAPALAPA,PUEBLO SANTA MARIA TOMATLAN,1460.53
IZTAPALAPA,PUEBLO SANTA MARTHA ACATITLA,1495.431789
IZTAPALAPA,PUEBLO SANTIAGO ACAHUALTEPEC,1141.099918
IZTAPALAPA,PUEBLO STA CRUZ MEYEHUALCO,1597.709602
IZTAPALAPA,PUENTE BLANCO,1405.11
IZTAPALAPA,PURISIMA ATLAZOLPA,2455.34
IZTAPALAPA,REAL DEL MORAL,3410.556548
IZTAPALAPA,REFORMA POLITICA,1646.793863
IZTAPALAPA,RENOVACION,1379.908089
IZTAPALAPA,RICARDO FLORES MAGON,2281.796543
IZTAPALAPA,SAN ANDRES TETEPILCO,3002.2
IZTAPALAPA,SAN ANTONIO CULHUACAN,1460.53
IZTAPALAPA,SAN JOSE ACULCO,2322.65
IZTAPALAPA,SAN JOSE BUENAVISTA,550.1490957
IZTAPALAPA,SAN JUAN ESTRELLA,1405.11
IZTAPALAPA,SAN JUAN JOYA,2005.611747
IZTAPALAPA,SAN JUAN XALPA,1666.974259
IZTAPALAPA,SAN MIGUEL 8VA AMPLIACION,2184.432022
IZTAPALAPA,SAN MIGUEL TEOTONGO (SECC LA CRUZ),766.4514871
IZTAPALAPA,SAN MIGUEL TEOTONGO (SECC LAS TORRES),786.94
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC ACORRALADO,566.52
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC AVISADERO,827.5
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC CAPILLA,786.94
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC CORRALES,743.3274583
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC GUADALUPE,781.2618182
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC JARDINES,566.52
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC LOMA ALTA,786.94
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC MERCEDES,786.94
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC PALMITAS,620.4821662
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC PUENTE,786.9805479
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC RANCHITO,786.94
IZTAPALAPA,SAN MIGUEL TEOTONGO SECC RANCHO BAJO,789.5717557
IZTAPALAPA,SAN MIGUEL TEOTONGO SECCION IZTLAHUACA,579.5791983
IZTAPALAPA,SAN NICOLAS TOLENTINO,1405.224386
IZTAPALAPA,SAN PABLO,474.1158909
IZTAPALAPA,SANTA ISABEL INDUSTRIAL,2345.894908
IZTAPALAPA,SANTA MARIA AZTAHUACAN,991.68
IZTAPALAPA,SANTA MARIA DEL MONTE,1460.53
IZTAPALAPA,SANTA MARTHA ACATITLA NORTE,1554.176903
IZTAPALAPA,SANTA MARTHA ACATITLA SUR,1266.325201
IZTAPALAPA,SANTIAGO ACAHUALTEPEC 1A AMPLIACIÃ¯Â¿Â½N,1170.17555
IZTAPALAPA,SANTIAGO ACAHUALTEPEC 1A AMPLIACIï¿½N,2354.917059
IZTAPALAPA,SANTIAGO ACAHUALTEPEC 2A AMPLIACION,1057.205037
IZTAPALAPA,SECTOR POPULAR,2239.980473
IZTAPALAPA,SIDERAL,2005.48
IZTAPALAPA,SINATEL,2745.010998
IZTAPALAPA,TENORIOS,1002.02
IZTAPALAPA,TEPALCATES,2356.948557
IZTAPALAPA,UNIDAD EJERCITO CONSTITUCIONALISTA,1309.46
IZTAPALAPA,UNIDAD MODELO,3126.678335
IZTAPALAPA,UNIDAD SANTA CRUZ MEYEHUALCO,1123.242084
IZTAPALAPA,UNIDAD VICENTE GUERRERO,1702.71
IZTAPALAPA,USCOVI,1145.91
IZTAPALAPA,VALLE DE LUCES,1460.53
IZTAPALAPA,VALLE DE SAN LORENZO,1145.91
IZTAPALAPA,VALLE DEL SUR,1460.53
IZTAPALAPA,XALPA,975.0608941
IZTAPALAPA,ZACAHUITZCO,3002.2
IZTAPALAPA,ZONA RUSTICA,278.1932787
MAGDALENA CONTRERAS,AMPLIACION LOMAS DE SAN BERNABE,509.477551
MAGDALENA CONTRERAS,AMPLIACION POTRERILLO,1338.97
MAGDALENA CONTRERAS,ATACAXCO,1184.241288
MAGDALENA CONTRERAS,BARRANCA SECA,1832.871909
MAGDALENA CONTRERAS,BARRIO LAS CALLES,2185.38
MAGDALENA CONTRERAS,BARRIO SAN FRANCISCO,2104.610463
MAGDALENA CONTRERAS,BARROS SIERRA,1340.811097
MAGDALENA CONTRERAS,CERRO DEL JUDIO - AV,886.67
MAGDALENA CONTRERAS,CRESCENCIO JUAREZ CHAVIRA,793.54
MAGDALENA CONTRERAS,CUAUHTEMOC,2194.08
MAGDALENA CONTRERAS,EL ERMITAÃ¯Â¿Â½O,983.1375783
MAGDALENA CONTRERAS,EL MAESTRO,2978.95
MAGDALENA CONTRERAS,EL OCOTAL,783.1275
MAGDALENA CONTRERAS,EL ROSAL,1355.4
MAGDALENA CONTRERAS,EL TANQUE,1050.812756
MAGDALENA CONTRERAS,EL TORO,1352.276255
MAGDALENA CONTRERAS,HEROES DE PADIERNA,5732.794863
MAGDALENA CONTRERAS,HUAYATLA,1338.97
MAGDALENA CONTRERAS,LA CARBONERA,912.4304856
MAGDALENA CONTRERAS,LA CONCEPCION,1481.250837
MAGDALENA CONTRERAS,LA CRUZ,1938.513171
MAGDALENA CONTRERAS,LA GUADALUPE,1970.558516
MAGDALENA CONTRERAS,LA MALINCHE,2209.94
MAGDALENA CONTRERAS,LAS CRUCES,799.3307762
MAGDALENA CONTRERAS,LAS HUERTAS,1457.649767
MAGDALENA CONTRERAS,LOMAS DE SAN BERNABE,1315.920462
MAGDALENA CONTRERAS,LOMAS QUEBRADAS,1964.561737
MAGDALENA CONTRERAS,LOS PADRES,1284.329471
MAGDALENA CONTRERAS,PALMAS,1125.18
MAGDALENA CONTRERAS,PLAZUELA DEL PEDREGAL,1389.27
MAGDALENA CONTRERAS,POTRERILLO,1340.613
MAGDALENA CONTRERAS,PUEBLO LA MAGDALENA,1559.45
MAGDALENA CONTRERAS,PUEBLO NUEVO ALTO,1972.751614
MAGDALENA CONTRERAS,PUEBLO NUEVO BAJO,2005.467085
MAGDALENA CONTRERAS,PUEBLO SAN BERNABE OCOTEPEC,1056.701278
MAGDALENA CONTRERAS,PUEBLO SAN NICOLAS TOTOLAPAN,1342.638272
MAGDALENA CONTRERAS,SAN BARTOLO AMEYALCO,1114.779596
MAGDALENA CONTRERAS,SAN FRANCISCO,2092.41
MAGDALENA CONTRERAS,SAN JERONIMO ACULCO,3676.693798
MAGDALENA CONTRERAS,SAN JERONIMO LIDICE,4482.324306
MAGDALENA CONTRERAS,SANTA TERESA,2658.886697
MAGDALENA CONTRERAS,TIERRA UNIDA,1338.97
MAGDALENA CONTRERAS,VISTA HERMOSA,1213.989256
MAGDALENA CONTRERAS,ZONA RUSTICA,556.7309524
MIGUEL HIDALGO,,1
MIGUEL HIDALGO,10 DE ABRIL,2947.74
MIGUEL HIDALGO,16 DE SEPTIEMBRE,2717.94
MIGUEL HIDALGO,5 DE MAYO,2970.45
MIGUEL HIDALGO,AGRICULTURA,2437.4
MIGUEL HIDALGO,AHUEHUETES ANAHUAC,2729.13
MIGUEL HIDALGO,AMERICA,2717.94
MIGUEL HIDALGO,AMPLIACION DANIEL GARZA,2102.831509
MIGUEL HIDALGO,AMPLIACION GRANADA,6658.761233
MIGUEL HIDALGO,AMPLIACION POPO,2970.45
MIGUEL HIDALGO,AMPLIACION TORRE BLANCA,2970.45
MIGUEL HIDALGO,ANAHUAC I SECCION,4598.005251
MIGUEL HIDALGO,ANAHUAC II SECCION,3682.64
MIGUEL HIDALGO,ANZURES,10571.2244
MIGUEL HIDALGO,ARGENTINA ANTIGUA,2971.349003
MIGUEL HIDALGO,ARGENTINA PONIENTE,2969.877681
MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC I SECCION,13440.9222
MIGUEL HIDALGO,BOSQUE DE CHAPULTEPEC II SECCION,6273.722738
MIGUEL HIDALGO,BOSQUE DE LAS LOMAS,11309.89499
MIGUEL HIDALGO,CUAUHTEMOC PENSIL,2970.45
MIGUEL HIDALGO,DANIEL GARZA,2717.94
MIGUEL HIDALGO,DEPORTIVO PENSIL,2970.45
MIGUEL HIDALGO,DOS LAGOS,2970.45
MIGUEL HIDALGO,ESCANDON I SECCION,6120.626272
MIGUEL HIDALGO,ESCANDON II SECCION,6044.864473
MIGUEL HIDALGO,FRANCISCO I MADERO,2970.45
MIGUEL HIDALGO,GRANADA,11060.71919
MIGUEL HIDALGO,HUICHAPAN,3497.362183
MIGUEL HIDALGO,IGNACIO MANUEL ALTAMIRANO,2163.57
MIGUEL HIDALGO,IRRIGACION,5684.210712
MIGUEL HIDALGO,LAGO NORTE,2771.141174
MIGUEL HIDALGO,LAGO SUR,2794.63718
MIGUEL HIDALGO,LEGARIA,2970.45
MIGUEL HIDALGO,LOMA HERMOSA,5138.764639
MIGUEL HIDALGO,LOMAS ALTAS,6129.128148
MIGUEL HIDALGO,LOMAS DE BEZARES,5506.88
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC I SECCION,8436.29
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC II SECCION,8775.893445
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC III SECCION,15335.13992
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC IV SECCION,12390.07492
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC V SECCION,8996.610889
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC VI SECCION,8436.29
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC VII SECCION,8626.407849
MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC VIII SECCION,9647.304225
MIGUEL HIDALGO,LOMAS DE REFORMA,8436.29
MIGUEL HIDALGO,LOMAS DE SOTELO,5504.83
MIGUEL HIDALGO,LOS MANZANOS,3360.101402
MIGUEL HIDALGO,MANUEL AVILA CAMACHO,3090.704651
MIGUEL HIDALGO,MARIANO ESCOBEDO,4503.794571
MIGUEL HIDALGO,MEXICO NUEVO,2970.45
MIGUEL HIDALGO,MODELO PENSIL,2970.45
MIGUEL HIDALGO,MOLINO DEL REY,6411.944091
MIGUEL HIDALGO,NEXTITLA,2437.4
MIGUEL HIDALGO,OBSERVATORIO,2488.311902
MIGUEL HIDALGO,PANTEON CIVIL DE DOLORES,6670.27
MIGUEL HIDALGO,PENSIL NORTE,2970.45
MIGUEL HIDALGO,PENSIL SUR,2970.45
MIGUEL HIDALGO,PERALITOS,2729.13
MIGUEL HIDALGO,PERIODISTA,5996.861163
MIGUEL HIDALGO,PLUTARCO ELIAS CALLES,2437.4
MIGUEL HIDALGO,POLANCO I SECCION,17034.40502
MIGUEL HIDALGO,POLANCO II SECCION,15200.55053
MIGUEL HIDALGO,POLANCO III SECCION,17785.92238
MIGUEL HIDALGO,POLANCO IV SECCION,16951.82521
MIGUEL HIDALGO,POLANCO V SECCION,16096.4673
MIGUEL HIDALGO,POPO,2970.45
MIGUEL HIDALGO,POPOTLA,4221.932703
MIGUEL HIDALGO,REAL DE LAS LOMAS,7749.748925
MIGUEL HIDALGO,REFORMA PENSIL,2970.45
MIGUEL HIDALGO,REFORMA SOCIAL,7504.901692
MIGUEL HIDALGO,RESIDENCIAL MILITAR,3456.48
MIGUEL HIDALGO,SAN DIEGO OCOYOACAC,2255.963671
MIGUEL HIDALGO,SAN JOAQUIN,2538.326644
MIGUEL HIDALGO,SAN JUANICO,2957.604973
MIGUEL HIDALGO,SAN LORENZO TLATENANGO,1400.593757
MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC I SECCION,4630.439884
