alcaldia_cumplimiento,colonia_cumpliemiento,Average of valor_unitario_suelo,Average of valor_suelo
TLAHUAC,ZAPOTITLA,1148.0500000000004,128251.69244882934
TLAHUAC,ZONA RUSTICA,432.7847092198563,1451735.9322571428
TLALPAN,2 DE OCTUBRE,854.5252089136524,211168.4603239887
TLALPAN,A M S A,3310.0123529411785,6950615.45749683
TLALPAN,AMPLIACION FUENTES DEL PEDREGAL,7478.9656980703885,31116590.904487293
TLALPAN,AMPLIACION ISIDRO FABELA,2103.388748510119,356560.1319827955
TLALPAN,ARBOLEDAS  DEL SUR,2616.8900000000044,3011280.4530134234
TLALPAN,ARENAL DE GUADALUPE,3512.768493647929,13810101.459932974
TLALPAN,ARENAL TEPEPAN,3651.0800000000104,4800480.383742287
TLALPAN,BARRIO DE CARAMAGUEY,2926.862807017554,2053289.7945941174
TLALPAN,BARRIO DEL NIÃ¯Â¿Â½O JESUS,2450,896424.1319444445
TLALPAN,BARRIO DEL NIï¿½O JESUS,2450,2212141.2972972975
TLALPAN,BARRIO EL CAPULIN,2204.719999999982,413178.13109291444
TLALPAN,BARRIO EL TRUENITO,1667.7568823529427,331157.8473000004
TLALPAN,BARRIO LA FAMA,3678.160278293152,6366538.895537667
TLALPAN,BARRIO LA LONJA,3260.5938488576962,717068.103046831
TLALPAN,BARRIO SAN FERNANDO,2277.9599999999978,46916273.50894507
TLALPAN,BELISARIO DOMINGUEZ,2925.0399999999986,642959.1611061227
TLALPAN,BELISARIO DOMINGUEZ SECCION XVI,3325.918433179722,16563250.128140477
TLALPAN,BELVEDERE AJUSCO,931.3099999999995,240783.13666992635
TLALPAN,BOSQUES DEL PEDREGAL,848.5300000000021,203815.82743836477
TLALPAN,CANTERA PUENTE DE PIEDRA,2974.111181229765,994929.5654303067
TLALPAN,CHICHICASPATL,731.6699999999995,208114.17964482767
TLALPAN,CHIMALLI,3156.97999999999,678898.952893392
TLALPAN,CHIMILLI,931.3099999999993,277257.9107411604
TLALPAN,CLUB DE GOLF MEXICO,4068.56702871413,254425376.1656353
TLALPAN,COLINAS DEL AJUSCO,1427.0999999999901,443203.1867855228
TLALPAN,COLINAS DEL BOSQUE,3046.2302956080784,1401278.7220946783
TLALPAN,COMUNEROS DE SANTA URSULA,2023.6800000000103,408676.78174222226
TLALPAN,CRUZ DEL FAROL,878.5813559322042,250768.27454021273
TLALPAN,CUCHILLA DE PADIERNA,1045.4578283712724,235026.65281228066
TLALPAN,CULTURA MAYA,1276.8699999999994,328127.37071843
TLALPAN,CUMBRES DE TEPETONGO,1809.710000000002,480343.11240764987
TLALPAN,DIAMANTE,947.65,136461.6
TLALPAN,DIVISADERO,730.3200000000013,120741.01814294298
TLALPAN,DOLORES TLALI,820.9980000000002,4609090.524959999
TLALPAN,EJIDOS DE SAN PEDRO MARTIR,1682.9632247556933,354302.87846666685
TLALPAN,EL CANTIL,252.85218978102228,740752.0199080298
TLALPAN,EL CHARCO,422.1943999999999,285687.0736104514
TLALPAN,EL MIRADOR 1A SECCION,1210.0800000000022,251918.27715272727
TLALPAN,EL MIRADOR 2A SECCION,1056.0899999999986,173896.1897711538
TLALPAN,EL MIRADOR 3A SECCION,679.2600000000025,135295.46427261544
TLALPAN,EX HACIENDA COAPA,2883.4697099621585,252344.940508013
TLALPAN,EX HACIENDA SAN JUAN DE DIOS,2789.7400000000534,3683515.2993029156
TLALPAN,FLORESTA COYOACAN,2925.040000000001,415390.40838144
TLALPAN,FUENTES BROTANTES,2337.0057978723353,354266.3606281106
TLALPAN,FUENTES DE TEPEPAN,1772.9701492537306,606384.934928268
TLALPAN,FUENTES DEL PEDREGAL,5030.903985174757,881545.2889698758
TLALPAN,GRANJAS COAPA,4281.628435904372,843668.0668181069
TLALPAN,GUADALUPE,3173.053646209391,3991566.7117628683
TLALPAN,HACIENDA SAN JUAN,2937.4700113507415,551098.719899319
TLALPAN,HEROES DE 1910,309.67133333333317,545718.9299728572
TLALPAN,HEROES DE PADIERNA,1427.0999999999847,413614.78915940685
TLALPAN,HEROICO COLEGIO MILITAR,1270.4699999999996,5820962.972960524
TLALPAN,ISIDRO FABELA,2291.896627302784,396963.4058060578
TLALPAN,JARDINES DEL AJUSCO,1708.8700000000154,708099.1994680259
TLALPAN,JARDINES EN LA MONTAÃ¯Â¿Â½A,8938.981012014803,2285846.2337802243
TLALPAN,JARDINES EN LA MONTAï¿½A,9709.157680000024,41420685.496
TLALPAN,JUVENTUD UNIDA,1786.3900000000065,288327.2294565217
TLALPAN,LA JOYA,2461.0273489278625,426482.534876344
TLALPAN,LA PALMA,526.9137338501283,347687.5077670404
TLALPAN,LAS TORTOLAS,3078.0700000000056,643032.5650880735
TLALPAN,LOMAS DE CUILOTEPEC,848.5299999999997,205428.91889183014
TLALPAN,LOMAS DE PADIERNA,1694.872082337336,417709.7136824196
TLALPAN,LOMAS DE PADIERNA SUR,931.3100000000015,184018.2766517672
TLALPAN,LOMAS DEL PEDREGAL,997.6920588235301,200974.8028607595
TLALPAN,LOMAS DEL PEDREGAL FRAMBOYANES,3105.600000000005,1795322.6987564347
TLALPAN,LOMAS HIDALGO,931.3100000000042,210249.6772983525
TLALPAN,LOS ENCINOS,1276.8699999999978,325199.8527010639
TLALPAN,LOS VOLCANES,1554.8485526315721,313053.64557592827
TLALPAN,MAGISTERIAL,3083.4981191806482,532035.9420296637
TLALPAN,MAGISTERIAL COAPA,3944.6400000000294,735708.9664452415
TLALPAN,MARIA ESTHER ZUNO DE ECHEVERRIA,1223.8869432314402,1955255.0720387683
TLALPAN,MESA DE LOS HORNOS,1809.709999999993,315823.9196286959
TLALPAN,MIGUEL HIDALGO,2506.3878220140177,545704.7496504509
TLALPAN,MIGUEL HIDALGO 1A SECCION,2204.720000000033,415990.69401755236
TLALPAN,MIGUEL HIDALGO 2A SECCION,2037.6939836065728,406203.4819293276
TLALPAN,MIGUEL HIDALGO 3A SECCION,1967.3810109763278,412619.67473678145
TLALPAN,MIGUEL HIDALGO 4A SECCION,1020.4578585308948,278716.77579769935
TLALPAN,MIRADOR DEL VALLE,1083.9299999999944,485963.0394886149
TLALPAN,MIRADOR I,931.3099999999987,181154.6386486154
TLALPAN,MIRADOR II,931.310000000001,187978.49543641304
TLALPAN,MOVIMIENTO ORGANIZADO DE TLALPAN,1786.390000000006,271794.01674461545
TLALPAN,NARCISO MENDOZA,3850.9667338359,232599.88495133206
TLALPAN,NUEVA ORIENTAL COAPA,2953.8300000000127,989976.4857098487
TLALPAN,NUEVO RENACIMIENTO DE AXALCO,730.3200000000046,331559.11285333295
TLALPAN,PARAJE 38,686.6700000000009,164879.61766754027
TLALPAN,PARQUE DEL PEDREGAL,9428.157452018559,6442729.650362164
TLALPAN,PARQUE NACIONAL BOSQUE DEL PEDREGAL,4277.357499999999,355391243.37
TLALPAN,PEÃ¯Â¿Â½A POBRE,3738.1326250000006,4476974.779201263
TLALPAN,PEDREGAL DE LAS AGUILAS,1586.2399999999977,341512.70023597113
TLALPAN,PEDREGAL DE SAN NICOLAS 1A SECCION,1143.655716137399,363792.2487288578
TLALPAN,PEDREGAL DE SAN NICOLAS 2A SECCION,1307.0300000000054,374370.5850186346
TLALPAN,PEDREGAL DE SAN NICOLAS 3A SECCION,1306.6361875427833,391764.8266798351
TLALPAN,PEDREGAL DE SAN NICOLAS 4A SECCION,1234.249218687067,363961.9820192404
TLALPAN,PEDREGAL DE SAN NICOLAS 5A SECCION,837.2934615384638,209614.00138293754
TLALPAN,PEDREGAL DE SANTA URSULA XITLA,1664.1640512820509,287575.5681851028
TLALPAN,PEï¿½A POBRE,6513.415277777777,386916285.9722222
TLALPAN,PLAN DE AYALA,550.4299999999987,129966.3640212121
TLALPAN,POPULAR SANTA TERESA,1699.5100000000025,388993.3861358972
TLALPAN,PRADO COAPA 1A SECCION,2953.8300000000045,549383.2216353317
TLALPAN,PRADO COAPA 2A SECCION,2997.898159879343,423657.1102734288
TLALPAN,PRADO COAPA 3A SECCION,2685.5580149501793,568225.033857689
TLALPAN,PRIMAVERA,680.1940336134451,219270.891267437
TLALPAN,PUEBLO CHIMALCOYOTL,1845.9130031948998,1001453.9830541803
TLALPAN,PUEBLO LA MAGDALENA PETLACALCO,606.6554545454538,514603.50270263175
TLALPAN,PUEBLO PARRES EL GUARDA,253.25066115702455,93564.8316264463
TLALPAN,PUEBLO SAN ANDRES TOTOLTEPEC,1520.8956807511697,989259.4318012062
TLALPAN,PUEBLO SAN LORENZO HUIPULCO,2150.919517564388,1273994.7160635437
TLALPAN,PUEBLO SAN MIGUEL AJUSCO,599.6977738927787,564602.2705058554
TLALPAN,PUEBLO SAN MIGUEL TOPILEJO,514.9561621621643,317400.2272717992
TLALPAN,PUEBLO SAN MIGUEL XICALCO,385.359250749257,444768.4991253036
TLALPAN,PUEBLO SAN PEDRO MARTIR,1449.523417255135,741972.9306244822
TLALPAN,PUEBLO SANTA URSULA XITLA,3117.5995680801266,5243590.992850974
TLALPAN,RANCHO LOS COLORINES,2623.960279720288,3277675.965502104
TLALPAN,RESIDENCIAL ACOXPA,3311.3342352941263,803042.1037917644
TLALPAN,RESIDENCIAL MIRAMONTES,3405.182980769221,13110511.940025955
TLALPAN,RESIDENCIAL VILLA COAPA,2795.979999999995,2351653.4750631168
TLALPAN,RINCON DEL PEDREGAL,7680.9211811023515,1237285.4140149613
TLALPAN,RINCONADA COAPA 1A SECCION,2513.2900000000022,517713.8689903103
TLALPAN,RINCONADA COAPA 2A SECCION,4538.125458624147,1101774.3493976542
TLALPAN,RINCONADA EL MIRADOR,1786.3899999999999,234237.4783393259
TLALPAN,RINCONADA LAS HADAS,2795.97999999999,302598.6485215684
TLALPAN,ROMULO SANCHEZ MIRELES,2023.6799999999967,244779.9059999999
TLALPAN,SAN BARTOLO EL CHICO,2294.717831094042,12344369.323799813
TLALPAN,SAN BUENAVENTURA,4018.379999999999,996039.8357084247
TLALPAN,SAN JUAN TEPEXIMILPA,947.650000000001,108127.79838987686
TLALPAN,SAN PEDRO APOSTOL,2277.9599999999855,527632.1540705039
TLALPAN,SANTISIMA TRINIDAD,1809.7099999999903,223299.71844801042
TLALPAN,SANTO TOMAS AJUSCO,601.8757581069178,726466.3014281058
TLALPAN,TECORRAL,730.3200000000021,383669.8188651163
TLALPAN,TENORIOS,3999.124327375355,430999.77510023327
TLALPAN,TEXCALTENCO,1809.7100000000025,315269.0307030303
TLALPAN,TLALCOLIGIA,1646.3563079019127,384779.2764323331
TLALPAN,TLALMILLE,679.2600000000022,135172.71903518544
TLALPAN,TLALPAN,3375.137437325809,6527688.111027737
TLALPAN,TLALPAN CENTRO,4093.773625229588,2798109.088353104
TLALPAN,TLALPUENTE,725.0676954732533,2814376.5128601645
TLALPAN,TLAXCALTENCO LA MESA,1809.7099999999987,559265.371498261
TLALPAN,TORIELLO GUERRA,2843.550546588461,1801844.8635424708
TLALPAN,TORRES DE PADIERNA,1661.6983544303862,257512.65914791
TLALPAN,VALLE DE TEPEPAN,1961.4721739130382,1190594.0098029699
TLALPAN,VALLE ESCONDIDO,3102.678492366414,649113.1429474431
TLALPAN,VALLE VERDE,468.1220270270267,161866.21846639347
TLALPAN,VERANO,679.26,639631.9715999999
TLALPAN,VERGEL COAPA,3149.9012878787908,14148396.517046595
TLALPAN,VERGEL DE COYOACAN,2790.984161490688,500783.09737445513
TLALPAN,VERGEL DEL SUR,3381.710000000001,42049894.40025391
TLALPAN,VILLA COAPA,4404.993410672871,22540730.109364938
TLALPAN,VILLA LAZARO CARDENAS,2595.4083203124924,501833.7746284032
TLALPAN,VILLA OLIMPICA,9841.965736677195,257574.38919443317
TLALPAN,VILLA TLALPAN,2840.6308591466786,357464.8070003513
TLALPAN,VISTAS DEL PEDREGAL,848.530000000006,201892.92786475006
TLALPAN,VIVEROS COATECTLAN,769.2813888888858,223321.04753959406
TLALPAN,ZACAYUCAN PEÃ¯Â¿Â½A POBRE,6673.4402749140845,5192706.562621039
TLALPAN,ZACAYUCAN PEï¿½A POBRE,10043.78,7643317
TLALPAN,ZAPOTE 1,2672.77,192965.82720277793
TLALPAN,ZONA RUSTICA,318.84642782427613,7351832.374337323
VENUSTIANO CARRANZA,10 DE MAYO,4883.9656934307295,1216304.5888489445
VENUSTIANO CARRANZA,1o DE MAYO,3020.979999999992,333733.530750711
VENUSTIANO CARRANZA,20 DE NOVIEMBRE,3020.9800000000055,401678.7286295646
VENUSTIANO CARRANZA,24 DE ABRIL,3062.5700000000024,6697149.325310317
VENUSTIANO CARRANZA,4 ARBOLES,2048.9510324826056,608607.0599518918
VENUSTIANO CARRANZA,5Ã¯Â¿Â½ TRAMO 20 DE NOVIEMBRE,3020.9799999999973,331380.64965113916
VENUSTIANO CARRANZA,5ï¿½ TRAMO 20 DE NOVIEMBRE,3020.9800000000014,493974.15
VENUSTIANO CARRANZA,7 DE JULIO,2212.449960975618,4265855.099478841
VENUSTIANO CARRANZA,AARON SAENZ,3062.570000000001,394226.20647522114
VENUSTIANO CARRANZA,ADOLFO LOPEZ MATEOS,2128.55736000001,359419.2939588189
VENUSTIANO CARRANZA,AERONAUTICA MILITAR,3062.5700000000033,310557.3124978378
VENUSTIANO CARRANZA,ALVARO OBREGON,3062.5699999999993,364297.5735164739
VENUSTIANO CARRANZA,AMPLIACION 20 DE NOVIEMBRE,3020.979999999992,656949.7820408602
VENUSTIANO CARRANZA,AMPLIACION AVIACION CIVIL,2453.2472480000274,124492.09425695875
VENUSTIANO CARRANZA,AMPLIACION CARACOL,1825.2399999999998,346195.78516122454
VENUSTIANO CARRANZA,AMPLIACION MICHOACANA,3020.979999999992,396838.9465014557
VENUSTIANO CARRANZA,AMPLIACION PENITENCIARIA,3255.336417561897,210282.88025472462
VENUSTIANO CARRANZA,AMPLIACION SIMON BOLIVAR,3020.9799999999905,3297723.098559813
VENUSTIANO CARRANZA,AMPLIACION VENUSTIANO CARRANZA,3020.9799999999914,389526.8901945783
VENUSTIANO CARRANZA,AQUILES SERDAN,3020.979999999999,484448.46511027816
VENUSTIANO CARRANZA,ARENAL 1A. SECCION,1825.2399999999989,309418.83318243676
VENUSTIANO CARRANZA,ARENAL 2A. SECCION,1825.2399999999986,382961.3638278075
VENUSTIANO CARRANZA,ARENAL 3A. SECCION,1825.2400000000011,230326.89927732223
VENUSTIANO CARRANZA,ARENAL 4A. SECCION,1825.2399999999993,290749.5894869334
VENUSTIANO CARRANZA,ARENAL PUERTO AEREO,2872.230000000001,196492.89252035168
VENUSTIANO CARRANZA,ARPTO INT DE LA CD DE MEX-EQUIPAMIENTO,2583.85,113817578.338875
VENUSTIANO CARRANZA,ARTES GRAFICAS,4315.334767609055,359992.10131928034
VENUSTIANO CARRANZA,AVIACION CIVIL,2050.594889643462,395522.8016972317
VENUSTIANO CARRANZA,AZTECA,3020.979999999995,352963.46739625686
VENUSTIANO CARRANZA,CARACOL,1838.9240586245758,344047.12587590516
VENUSTIANO CARRANZA,CUCHILLA PANTITLAN,2587.3060234445365,267801.9350570007
VENUSTIANO CARRANZA,DAMIAN CARMONA,3020.9799999999905,412576.6660283584
VENUSTIANO CARRANZA,DEL PARQUE,2736.4926582278595,1364992.6326554662
VENUSTIANO CARRANZA,EMILIO CARRANZA,3338.9467819148886,327495.60487028793
VENUSTIANO CARRANZA,ESCUELA DE TIRO,3020.9800000000023,685226.462258065
VENUSTIANO CARRANZA,FEDERAL,1969.312621861158,1485618.764750903
VENUSTIANO CARRANZA,FELIPE ANGELES,3020.9799999999955,667195.8035212532
VENUSTIANO CARRANZA,GENERAL IGNACIO ZARAGOZA,2034.071351082344,269940.142342558
VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,3255.3176315789538,15518074.58925263
VENUSTIANO CARRANZA,JAMAICA,3910.8897336883983,400950.515903861
VENUSTIANO CARRANZA,JANITZIO,3031.4928308207614,334725.12502794655
VENUSTIANO CARRANZA,JARDIN BALBUENA,2939.950574898783,317674.7495195826
VENUSTIANO CARRANZA,LORENZO BOTURINI,3943.9503648548152,840902.6929082692
VENUSTIANO CARRANZA,MAGDALENA MIXIUHCA,3075.34622489958,801694.6969449808
VENUSTIANO CARRANZA,MERCED BALBUENA,4013.401591240882,364141.23888264206
VENUSTIANO CARRANZA,MICHOACANA,3020.9799999999946,772085.3422030761
VENUSTIANO CARRANZA,MIGUEL HIDALGO,3020.9799999999987,816544.7873545456
VENUSTIANO CARRANZA,MOCTEZUMA 1A SECCION,2049.509260143208,299261.81797475927
VENUSTIANO CARRANZA,MOCTEZUMA 2A. SECCION,2741.118612716753,773365.4839466183
VENUSTIANO CARRANZA,MORELOS,3222.476002786927,159411.9982695251
VENUSTIANO CARRANZA,NICOLAS BRAVO,3103.474791086355,118608.85288668983
VENUSTIANO CARRANZA,PEÃ¯Â¿Â½ON DE LOS BAÃ¯Â¿Â½OS,3023.9367336683717,566491.8833353054
VENUSTIANO CARRANZA,PEï¿½ON DE LOS BAï¿½OS,3114.2446153846095,4117936.076923077
VENUSTIANO CARRANZA,PENITENCIARIA,3020.9799999999905,29881061.683513906
VENUSTIANO CARRANZA,PENSADOR MEXICANO,3020.979999999997,619274.3298928385
VENUSTIANO CARRANZA,POPULAR RASTRO,3040.9355201215317,235631.93881914995
VENUSTIANO CARRANZA,PROGRESISTA,3020.9799999999996,8502897.579589112
VENUSTIANO CARRANZA,PUEBLA,1934.2007330677313,318891.4240743608
VENUSTIANO CARRANZA,PUEBLO DE LA MAGDALENA MIXIUHCA,3087.390027137041,519055.89782114624
VENUSTIANO CARRANZA,REVOLUCION,3020.9799999999973,313655.74578211375
VENUSTIANO CARRANZA,ROMERO RUBIO,3020.980000000041,399739.9749516421
VENUSTIANO CARRANZA,SANTA CRUZ AVIACION,3228.0735999999974,1833020.3480371174
VENUSTIANO CARRANZA,SEVILLA,3093.386601941752,566434.3282139678
VENUSTIANO CARRANZA,SIMON BOLIVAR,3020.9799999999977,487928.77262092486
VENUSTIANO CARRANZA,TRES MOSQUETEROS,3020.9799999999987,431404.3746418605
VENUSTIANO CARRANZA,VALENTIN GOMEZ FARIAS,1985.1737813765158,276901.18341509695
VENUSTIANO CARRANZA,VALLE GOMEZ,3020.980000000004,261694.03290710543
VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,3020.979999999992,354226.62822056387
VENUSTIANO CARRANZA,ZONA CENTRO,4665.831356370622,287212.412706072
XOCHIMILCO,AÃ¯Â¿Â½O DE JUAREZ,1078.6700000000026,358469.00775000005
XOCHIMILCO,Aï¿½O DE JUAREZ,1078.67,506975
XOCHIMILCO,AMPLIACION NATIVITAS,701.5246060606042,276014.27190142
XOCHIMILCO,AMPLIACION SAN MARCOS NORTE,2025.17530247481,2379800.223900044
XOCHIMILCO,AMPLIACION TEPEPAN,2211.3959613957013,1605345.2658562092
XOCHIMILCO,BARRIO 18,2191.280000000001,276481.50759853213
XOCHIMILCO,BARRIO 3 DE MAYO,1078.669999999999,1035309.1439311107
XOCHIMILCO,BARRIO AHUALAPA,1078.67,2202988.115877778
XOCHIMILCO,BARRIO APATLACO,1078.6700000000017,496259.42318660277
XOCHIMILCO,BARRIO BELEN,2091.079999999997,533713.7939340996
XOCHIMILCO,BARRIO CALPULCO,1078.669999999999,685330.6395652173
XOCHIMILCO,BARRIO CALYEQUITA,973.1671399999982,362108.6770812876
XOCHIMILCO,BARRIO CHAPULTEPEC,536.9485714285707,285798.49802987004
XOCHIMILCO,BARRIO DEL PUENTE,1078.6700000000021,566994.4191947673
XOCHIMILCO,BARRIO EL CALVARIO,350.30631578947384,130933.38131315788
XOCHIMILCO,BARRIO EL ROSARIO,2091.080000000003,974297.2258291257
XOCHIMILCO,BARRIO LA ASUNCION,1037.7570138888802,333253.9093385445
XOCHIMILCO,BARRIO LA CANDELARIA,618.6800000000001,703343.7801666668
XOCHIMILCO,BARRIO LA CONCEPCION TLACOAPA,2066.1532445141097,523947.4318814465
XOCHIMILCO,BARRIO LA GALLERA,1078.6699999999985,952127.4594976745
XOCHIMILCO,BARRIO LA GUADALUPANA,578.2577611940275,366262.3120431473
XOCHIMILCO,BARRIO LA GUADALUPITA,2091.0800000000013,438728.59308269253
XOCHIMILCO,BARRIO LA SANTISIMA,2091.0799999999995,445825.76244102564
XOCHIMILCO,BARRIO LAS CRUCES,440.21540540540525,479541.5847410959
XOCHIMILCO,BARRIO LAS FLORES,740.5974418604645,254959.44517209302
XOCHIMILCO,BARRIO LOS REYES,756.1007692307682,472840.4508834318
XOCHIMILCO,BARRIO NIÃ¯Â¿Â½OS HEROES,618.6800000000001,390990.57421818184
XOCHIMILCO,BARRIO POCITOS,1078.670000000002,560740.9493238089
XOCHIMILCO,BARRIO SAN ANDRES,1078.669999999999,1161081.1405604654
XOCHIMILCO,BARRIO SAN ANTONIO,2099.6679237288095,516440.9372987152
XOCHIMILCO,BARRIO SAN CRISTOBAL,2085.028527397261,750110.1875258625
XOCHIMILCO,BARRIO SAN DIEGO,2091.0799999999913,382596.331753943
XOCHIMILCO,BARRIO SAN ESTEBAN,2091.079999999994,556088.8721500001
XOCHIMILCO,BARRIO SAN JOSE PUEBLO SAN LUIS TLAXIALTEMALCO,837.1879838709656,440983.76674621855
XOCHIMILCO,BARRIO SAN JUAN,1294.0981055155853,330309.56045907974
XOCHIMILCO,BARRIO SAN JUAN MINAS,1070.9651111111111,513468.27318721777
XOCHIMILCO,BARRIO SAN JUAN MOYOTEPEC,1078.670000000002,370651.54734937206
XOCHIMILCO,BARRIO SAN JUAN PUEBLO SAN LUIS TLAXIALTEMALCO,874.2787679083076,515385.89547020016
XOCHIMILCO,BARRIO SAN LORENZO,2037.2795849056633,485122.4580366413
XOCHIMILCO,BARRIO SAN MARCOS,2232.0515705128187,2419125.8075819984
XOCHIMILCO,BARRIO SAN PEDRO,2491.3942238806,870141.3787609285
XOCHIMILCO,BARRIO SANTA CRUCITA,2091.0799999999954,934965.004652308
XOCHIMILCO,BARRIO TETITLA,1078.6700000000028,368731.056379191
XOCHIMILCO,BARRIO XALTOCAN,2200.795109489037,952305.4748675947
XOCHIMILCO,BOSQUE RESIDENCIAL DEL SUR,3439.4346002621287,621708.6785255582
XOCHIMILCO,CERRILLOS PRIMERA SECCION,666.1779566563431,238656.5452593749
XOCHIMILCO,CERRILLOS SEGUNDA SECCION,657.5715831663344,253801.2028581444
XOCHIMILCO,CERRILLOS TERCERA SECCION,286.38686956521707,223617.2283021739
XOCHIMILCO,CRISTO REY,768.9299999999943,384210.77223340096
XOCHIMILCO,DEL CARMEN,754.7029373650081,200112.91416220285
XOCHIMILCO,EL ARENAL,767.3803738317772,393694.1838339621
XOCHIMILCO,EL JAZMIN,1052.9759024390235,390622.1805142504
XOCHIMILCO,EL MIRADOR,1269.9980499220037,323735.0822472527
XOCHIMILCO,EL SACRIFICIO,170.1,1000698.3
XOCHIMILCO,GUADALUPITA,993.6199999999995,364144.25779708475
XOCHIMILCO,HUICHAPAN,3140.0228403141496,5596852.487456797
XOCHIMILCO,JARDINES DEL SUR,2488.7062933657903,468774.41759372706
XOCHIMILCO,LA CAÃ¯Â¿Â½ADA,1083.1400000000096,286189.62397191004
XOCHIMILCO,LA CANDELARIA,1063.7754098360642,585874.8816327868
XOCHIMILCO,LA CONCHA,1605.6648888888858,3179598.4107851596
XOCHIMILCO,LA NORIA,2707.6679187192344,448938.80620997655
XOCHIMILCO,LA PLANTA,1007.7772348484887,686143.0947614496
XOCHIMILCO,LAS ANIMAS,993.6199999999998,1179771.7088525717
XOCHIMILCO,LAS MESITAS,660.5200000000003,207391.21833043481
XOCHIMILCO,LAS PERITAS,2008.200000000001,288375.1736494846
XOCHIMILCO,LOMAS DE NATIVITAS,1061.6873831775747,441359.94827605644
XOCHIMILCO,LOMAS DE TONALCO,1549.0799999999992,519466.1385948385
XOCHIMILCO,NATIVITAS,766.0883790523679,371140.1855856777
XOCHIMILCO,PASEOS DEL SUR,2740.9611173184153,479354.05823692406
XOCHIMILCO,PBO SANTIAGO TEPALCATLALPAN U H RCDA DEL SUR,3022.0885809018514,876789.8989531781
XOCHIMILCO,POTRERO SAN BERNARDINO,2381.1672985243886,2567836.3177377665
XOCHIMILCO,PUEBLO SAN ANDRES AHUAYUCAN,533.5328491620102,336723.82828770974
XOCHIMILCO,PUEBLO SAN FRANCISCO TLALNEPANTLA,323.00328173374646,508353.06005973986
XOCHIMILCO,PUEBLO SAN GREGORIO ATLAPULCO,1046.5607612814335,376185.3594123349
XOCHIMILCO,PUEBLO SAN LORENZO ATEMOAYA,1321.1009069767456,1136719.3468766906
XOCHIMILCO,PUEBLO SAN LUCAS XOCHIMANCA,1250.2405129828785,617421.4828175576
XOCHIMILCO,PUEBLO SAN LUIS TLAXIALTEMALCO,559.9071769815389,398990.4676949446
XOCHIMILCO,PUEBLO SAN MATEO XALPA,1032.975943992771,1061979.4357939195
XOCHIMILCO,PUEBLO SANTA CECILIA TEPETLAPA,558.3027586206848,455308.6876394633
XOCHIMILCO,PUEBLO SANTA CRUZ ACALPIXCA,1050.2335681293432,362113.9814091766
XOCHIMILCO,PUEBLO SANTA CRUZ XOCHITEPEC,1527.491129740519,482189.12969783985
XOCHIMILCO,PUEBLO SANTA MARÃ¯Â¿Â½A NATIVITAS,1264.5153248692948,533447.7360023196
XOCHIMILCO,PUEBLO SANTA MARIA TEPEPAN,2073.673522947656,1662004.3205426764
XOCHIMILCO,PUEBLO SANTIAGO TEPALCATLALPAN,1901.709238754318,4974420.248119065
XOCHIMILCO,QUIRINO MENDOZA,993.6199999999977,1235854.001826635
XOCHIMILCO,RANCHO TEJOMULCO,1078.6700000000035,466720.95450106973
XOCHIMILCO,RINCONADA COAPA,2926.4058252427194,17105150.654242575
XOCHIMILCO,ROSARIO TLALI,598.09,537810.6022150001
XOCHIMILCO,SAN BARTOLO EL CHICO,3395.3469811320715,903355.7838037738
XOCHIMILCO,SAN FELIPE,834.7954677754635,406870.25352307694
XOCHIMILCO,SAN ISIDRO,993.6199999999972,436959.5454367925
XOCHIMILCO,SAN JERONIMO,1232.3062622950933,585311.2384439667
XOCHIMILCO,SAN JUAN TEPEPAN,2162.880675422143,1203244.9223875226
XOCHIMILCO,SAN LORENZO LA CEBADA,2332.182089480043,521372.61555503303
XOCHIMILCO,SAN LUCAS ORIENTE,1420.6713385826752,375185.56639680016
XOCHIMILCO,SAN SALVADOR CUAUHTENCO,357.16654028436193,476473.90792000014
XOCHIMILCO,SANTA CRUZ CHAVARRIETA,651.9788571428562,542239.3161712228
XOCHIMILCO,SANTA CRUZ DE GUADALUPE,629.5399999999989,727992.7642057558
XOCHIMILCO,SANTA INES,1030.25,349105.4002836879
XOCHIMILCO,SANTIAGO TEPALCATLALPAN,699.7890548780396,612668.4260572738
XOCHIMILCO,SANTIAGUITO,768.9299999999962,358763.22610585106
XOCHIMILCO,TABLAS DE SAN LORENZO,2300.6699999999937,209191.93859518858
XOCHIMILCO,TETITLA DEL PUEBLO SANTA CRUZ ACALPIXCA,1078.67,495530.2113
XOCHIMILCO,TEXMIC,1549.0799999999986,1317242.7873849059
XOCHIMILCO,TIERRA NUEVA,2078.7854708520017,709005.7328878929
XOCHIMILCO,VALLE DE SANTA MARIA,1078.6699999999987,256264.428692771
XOCHIMILCO,XOCHIPILLI,1078.6699999999996,259920.4594533835
XOCHIMILCO,ZONA RUSTICA,498.3396112975373,1062331.3254431027
