colonia_cumpliemiento,codigo_postal,alcaldia_cumplimiento,colonia_predio,Average of valor_unitario_suelo,Average of valor_suelo
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec Morales.,20222.04,478739.756
POLANCO II SECCION,11550,MIGUEL HIDALGO,Polanco Reforma,20222.04,1300951.24
POLANCO I SECCION,11010,MIGUEL HIDALGO,Lomas Barrilaco Secc. Vertientes,20222.04,9281916.36
POLANCO II SECCION,11350,MIGUEL HIDALGO,Polanco,20222.04,591005.4271
POLANCO II SECCION,11530,MIGUEL HIDALGO,Lomas Polanco,20222.04,161776.32
POLANCO III SECCION,11560,MIGUEL HIDALGO,POLANCO III,20222.04,3781521.48
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Polanco V Secc,20222.04,19170493.92
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Polancco,20222.04,3842187.6
POLANCO IV SECCION,11560,MIGUEL HIDALGO,POLANCO 4TA SECCION,20222.04,467063.8916
POLANCO V SECCION,11500,MIGUEL HIDALGO,Polanco,20222.04,566217.12
POLANCO V SECCION,11560,MIGUEL HIDALGO,Polanco Reforma,20222.04,1152656.28
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec-morales,20222.04,485328.96
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chapulteopec Morales,20222.04,4691513.28
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco Reforma,20222.04,849325.68
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco V SecciÃ¯Â¿Â½n,20222.04,944385.5386
POLANCO V SECCION,11590,MIGUEL HIDALGO,Rincon del Bosque,20222.04,1198155.87
POLANCO IV SECCION,11550,MIGUEL HIDALGO,MORALES PALMAS POLANCO,20222.04,408934.5867
POLANCO IV SECCION,11570,MIGUEL HIDALGO,Polanco,20219.38177,81214.902
POLANCO V SECCION,11560,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,20032.37906,159338.3724
POLANCO V SECCION,11580,MIGUEL HIDALGO,Anzures,19961.48375,1151527.082
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Chapultepec Polanco,19895.8125,604968.9163
POLANCO II SECCION,11530,MIGUEL HIDALGO,Los Morales Polanco,19454.4048,664485.9504
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec Morals,19127.01,3099375.24
BOSQUE DE CHAPULTEPEC I SECCION,11590,MIGUEL HIDALGO,Anzurez,18810.52,831904652
POLANCO II SECCION,11000,MIGUEL HIDALGO,Chapultepec,18810.52,790041.84
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas Chapultepec,18810.52,1256542.928
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas de Chapiltepec,18810.52,639557.68
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas De Chapultepez,18810.52,3084925.28
POLANCO II SECCION,11000,MIGUEL HIDALGO,Polanco,18810.52,832365.51
POLANCO II SECCION,11560,MIGUEL HIDALGO,Chap. Polanco,18810.52,2370125.52
POLANCO II SECCION,11560,MIGUEL HIDALGO,L Chap.,18810.52,1486031.08
POLANCO II SECCION,11800,MIGUEL HIDALGO,Polanco,18810.52,21820203.2
POLANCO III SECCION,11000,MIGUEL HIDALGO,'-,18810.52,601936.64
POLANCO IV SECCION,11560,MIGUEL HIDALGO,POLANCO IV SECC,18810.52,11493228
POLANCO IV SECCION,11850,MIGUEL HIDALGO,Chapultepec Polanco,18810.52,9075030.871
POLANCO V SECCION,10580,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18810.52,978147.04
POLANCO V SECCION,11550,MIGUEL HIDALGO,Palmas Polanco,18810.52,940526
POLANCO V SECCION,11580,MIGUEL HIDALGO,HAPULTEPEC MORALES,18810.52,940526
POLANCO V SECCION,11580,MIGUEL HIDALGO,POLANCO SECC V,18810.52,28102916.88
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polancol,18810.52,131673.64
POLANCO V SECCION,11580,MIGUEL HIDALGO,Rincon Bosque,18810.52,507884.04
POLANCO II SECCION,11000,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18810.52,618059.9429
POLANCO IV SECCION,11100,MIGUEL HIDALGO,Polanco,18810.52,921715.48
POLANCO V SECCION,11580,MIGUEL HIDALGO,Bosques de Chapultepec,18715.63406,2194190.583
POLANCO III SECCION,11550,MIGUEL HIDALGO,POLANCO III SECCION,18713.92401,1336122.973
POLANCO V SECCION,11580,MIGUEL HIDALGO,Ampl Chapultepec Polanco,18638.18375,810910.74
POLANCO V SECCION,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18338.30148,1035904.925
POLANCO III SECCION,11560,MIGUEL HIDALGO,POLANCO III SECCION,18275.05495,822264.4554
POLANCO II SECCION,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18256.51176,1073109.153
POLANCO II SECCION,11000,MIGUEL HIDALGO,POLANCO II SECCION,18181.10949,4079564.526
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chapultepec,18137.59,10050353.88
POLANCO I SECCION,11010,MIGUEL HIDALGO,Lomas de Chapultepec,18031.98,1393614.454
POLANCO I SECCION,11560,MIGUEL HIDALGO,Chapultepec Polanco,18031.98,1212385.479
POLANCO I SECCION,11570,MIGUEL HIDALGO,Los Morales,18031.98,558991.38
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Seccion Palmas,18031.98,476044.272
POLANCO II SECCION,11550,MIGUEL HIDALGO,Palmas Polanco,18031.98,668986.458
POLANCO III SECCION,11560,MIGUEL HIDALGO,Palmas Polanco,18031.98,812941.765
GRANADA,11520,MIGUEL HIDALGO,Chapultepec M,18031.98,396703.56
GRANADA,11520,MIGUEL HIDALGO,Chapultepec-morales,18031.98,198351.78
GRANADA,11520,MIGUEL HIDALGO,Granada Polanco,18031.98,24072693.3
LOMAS DE CHAPULTEPEC III SECCION,11000,MIGUEL HIDALGO,Lomas de Chpultepec,18031.98,504895.56
LOMAS DE CHAPULTEPEC III SECCION,11050,MIGUEL HIDALGO,Lomas Altas,18031.98,1586814.24
LOMAS DE CHAPULTEPEC III SECCION,11050,MIGUEL HIDALGO,Lomas de Cahpultepc,18031.98,1586814.24
LOMAS DE CHAPULTEPEC III SECCION,11100,MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC III SECC,18031.98,14497712
POLANCO I SECCION,115,MIGUEL HIDALGO,Morales Polanco,18031.98,1821229.98
POLANCO I SECCION,11000,MIGUEL HIDALGO,Lomas de Chapultepec Morales,18031.98,504895.44
POLANCO I SECCION,11010,MIGUEL HIDALGO,Lomas de Barrilaco,18031.98,9070085.94
POLANCO I SECCION,11010,MIGUEL HIDALGO,POLANCO I SECCION,18031.98,15426359
POLANCO I SECCION,11510,MIGUEL HIDALGO,Chapultepec Moral,18031.98,1226174.64
POLANCO I SECCION,11510,MIGUEL HIDALGO,Colonia Del Bosque,18031.98,126223.86
POLANCO I SECCION,11510,MIGUEL HIDALGO,Colonia Los Morales Polanco,18031.98,1821229.98
POLANCO I SECCION,11510,MIGUEL HIDALGO,Fracc los Morales Polanco,18031.98,450799.5
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Morales Chapultepec,18031.98,4814538.66
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Morales Polancxo,18031.98,54095.94
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Moralespolanco,18031.98,54095.94
POLANCO I SECCION,11510,MIGUEL HIDALGO,Morales Polanco,18031.98,22359655.2
POLANCO I SECCION,11510,MIGUEL HIDALGO,POLANCO 1 SECC,18031.98,1731070.08
POLANCO I SECCION,11510,MIGUEL HIDALGO,Polanco Reforma,18031.98,613087.32
POLANCO I SECCION,11550,MIGUEL HIDALGO,Los Morales,18031.98,1604846.22
POLANCO I SECCION,11560,MIGUEL HIDALGO,Los Morales Polanco,18031.98,414735.54
POLANCO I SECCION,11560,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,18031.98,270479.7
POLANCO I SECCION,11560,MIGUEL HIDALGO,Polanco los Morales,18031.98,775375.14
POLANCO I SECCION,11570,MIGUEL HIDALGO,Chapultepec,18031.98,450799.5
POLANCO I SECCION,11570,MIGUEL HIDALGO,Chpp. Morales,18031.98,360639.6
POLANCO I SECCION,11570,MIGUEL HIDALGO,Colonia Chapultepec Morales,18031.98,54258227.82
POLANCO II SECCION,1560,MIGUEL HIDALGO,Palmas Polanco,18031.98,486863.46
POLANCO II SECCION,11510,MIGUEL HIDALGO,Los Morales Ampliacion Palmas Polanco,18031.98,414735.54
POLANCO II SECCION,11530,MIGUEL HIDALGO,Plamas Polanco,18031.98,4417835.1
POLANCO II SECCION,11540,MIGUEL HIDALGO,Chap. Polanco,18031.98,1929421.86
POLANCO II SECCION,11540,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18031.98,757343.16
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Sec Palmas,18031.98,1117982.76
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Secc Alameda,18031.98,955694.94
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Seccion Palams,18031.98,595055.34
POLANCO II SECCION,11540,MIGUEL HIDALGO,REFORMA POLANCO,18031.98,5968585.38
POLANCO II SECCION,11560,MIGUEL HIDALGO,Ampl Palmas Polanco,18031.98,432767.52
POLANCO II SECCION,11560,MIGUEL HIDALGO,Palma Polanco,18031.98,558991.38
POLANCO II SECCION,11560,MIGUEL HIDALGO,Palmas Polnaco,18031.98,414735.54
POLANCO III SECCION,11550,MIGUEL HIDALGO,Palmas Polanco,18031.98,842995.065
POLANCO III SECCION,11550,MIGUEL HIDALGO,Palmas-polanco,18031.98,306543.66
POLANCO III SECCION,11550,MIGUEL HIDALGO,PAOLANCO III SECCION,18031.98,1803198
POLANCO III SECCION,11550,MIGUEL HIDALGO,Polanco III SecciÃ¯Â¿Â½n,18031.98,306543.66
POLANCO III SECCION,11560,MIGUEL HIDALGO,P0lanc0,18031.98,829471.08
POLANCO III SECCION,11570,MIGUEL HIDALGO,Palmas Polanco,18031.98,829471.08
POLANCO IV SECCION,11500,MIGUEL HIDALGO,Polanco,18031.98,468831.48
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Chap. Morales,18031.98,315559.65
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Chap.morales,18031.98,396703.56
POLANCO IV SECCION,11550,MIGUEL HIDALGO,CHAPULTEPEC MORALES,18031.98,357033.204
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Pamas Polanco,18031.98,685215.24
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Chap. Morales,18031.98,234415.74
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Chapultepec,18031.98,234415.74
POLANCO IV SECCION,11570,MIGUEL HIDALGO,Polanco Reforma,18031.98,1009790.88
POLANCO IV SECCION,11580,MIGUEL HIDALGO,Polanco,18031.98,234415.74
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapaultepec Morales,18031.98,775375.14
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultelpec Morales,18031.98,775375.14
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultep0ec Morales,18031.98,36063.96
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec Moralessi,18031.98,558991.38
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chapultepec Morlaes,18031.98,504895.44
POLANCO V SECCION,11570,MIGUEL HIDALGO,POLANCO QUINTA SECCION,18031.98,432767.52
POLANCO V SECCION,11570,MIGUEL HIDALGO,POLANCO V SECC.,18031.98,8402902.68
REFORMA SOCIAL,11000,MIGUEL HIDALGO,Lomas de Chaputepec,18031.98,802423.11
REFORMA SOCIAL,11650,MIGUEL HIDALGO,LOMAS REFORMA,18031.98,162287.82
REFORMA SOCIAL,11050,MIGUEL HIDALGO,LOMAS REFORMA,18031.98,203124.9512
GRANADA,11570,MIGUEL HIDALGO,Chapultepec-morales,18031.98,305071.6616
POLANCO V SECCION,11580,MIGUEL HIDALGO,Ampl. Chapultepec Polanco,18014.97529,1153393.489
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Morales Polanco,18004.37121,389486.4122
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Colonia Polanco Chapultepec,17936.87,888240.69
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Polanco,17909.85079,561453.3997
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales Secc las Palmas,17906.55,14647557.9
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chapultepec de Morales,17906.55,483476.85
POLANCO III SECCION,11560,MIGUEL HIDALGO,Morales,17906.55,714471.345
POLANCO I SECCION,11510,MIGUEL HIDALGO,Colonia Los Morales,17817.17523,343391.1823
REFORMA SOCIAL,11000,MIGUEL HIDALGO,Lomas de Chapultepec,17767.29545,798740.3955
POLANCO IV SECCION,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,17766.0125,948272.355
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Polanco Reforma,17751.90016,1427088.373
GRANADA,11520,MIGUEL HIDALGO,CHAPULTEPEC MORALES,17739.888,3852608.417
POLANCO V SECCION,11580,MIGUEL HIDALGO,'-,17707.568,1461113.129
LOMAS DE CHAPULTEPEC III SECCION,11000,MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC III SECCION,17669.04573,894279.4402
POLANCO V SECCION,11580,MIGUEL HIDALGO,Colonia Bosque de Chapultepec,17667.08333,1456750.297
POLANCO II SECCION,11540,MIGUEL HIDALGO,Los Morales,17650.165,971147.468
POLANCO I SECCION,11560,MIGUEL HIDALGO,Polanco,17623.58574,1303655.077
POLANCO I SECCION,11510,MIGUEL HIDALGO,POLANCO I SECCION,17559.54221,10119391.42
POLANCO III SECCION,11560,MIGUEL HIDALGO,,17558.915,7231806.215
POLANCO III SECCION,11560,MIGUEL HIDALGO,POLANCO III SECC,17558.915,6632652.36
POLANCO V SECCION,11580,MIGUEL HIDALGO,CHAPULTEPEC MORALES,17518.29207,3290409.659
POLANCO IV SECCION,11100,MIGUEL HIDALGO,,17506.74,1594070.415
POLANCO III SECCION,11560,MIGUEL HIDALGO,CHAPULTEPEC MORALES,17470.39364,557975.9532
POLANCO II SECCION,11510,MIGUEL HIDALGO,Palmas Polanco,17444.57231,2282515.012
POLANCO V SECCION,11560,MIGUEL HIDALGO,Colonia Polanco Chapultepec,17442.77333,464981.3733
POLANCO III SECCION,11560,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,17381.21222,1895813.495
POLANCO V SECCION,11580,MIGUEL HIDALGO,POLANCO V SECCION,17378.26149,2902718.283
POLANCO II SECCION,11540,MIGUEL HIDALGO,Polanco II SecciÃ¯Â¿Â½n,17337.77091,341739.8648
POLANCO I SECCION,11510,MIGUEL HIDALGO,POLANCO 1RA SECC,17290.69294,17558887.64
POLANCO IV SECCION,11560,MIGUEL HIDALGO,POLANCO IV SECCION,17268.25008,4662903.625
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco,17243.94005,1233193.532
POLANCO III SECCION,11570,MIGUEL HIDALGO,POLANCO III SECCION,17223.07,1192219.179
POLANCO V SECCION,11560,MIGUEL HIDALGO,Chapultepec-morales,17223.07,411440.0056
POLANCO V SECCION,11590,MIGUEL HIDALGO,CHAPULTEPEC MORALES,17223.07,581278.6125
POLANCO III SECCION,11550,MIGUEL HIDALGO,POLANCO III SECC,17223.07,14467378.8
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Frac. Reforma Polanco,17223.07,6596435.81
POLANCO V SECCION,11570,MIGUEL HIDALGO,Nueva Anzures,17223.07,193759.5375
POLANCO V SECCION,11570,MIGUEL HIDALGO,Polanco V SecciÃ¯Â¿Â½n,17223.07,51669.21
POLANCO II SECCION,11510,MIGUEL HIDALGO,Los Morales,17183.50222,1988244.62
POLANCO II SECCION,11550,MIGUEL HIDALGO,Polanco,17148.46244,869130.3028
POLANCO I SECCION,11000,MIGUEL HIDALGO,Lomas de Chapultepec,17112.54947,1100972.117
POLANCO III SECCION,11550,MIGUEL HIDALGO,Polanco Reforma,17110.35759,536834.3233
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chapultepec,17106.93,1491016.68
POLANCO III SECCION,11570,MIGUEL HIDALGO,Polanco,17079.124,722632.976
POLANCO III SECCION,11560,MIGUEL HIDALGO,Polanco,17066.14609,2136839.553
POLANCO V SECCION,11580,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,17010.14308,1984022.731
POLANCO V SECCION,11580,MIGUEL HIDALGO,Bosque de Chapultepec,16996.50608,2142433.91
POLANCO I SECCION,11510,MIGUEL HIDALGO,Chapultepec Polanco,16981.82333,1359485.06
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco V Secc,16886.92,461721.054
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chap. Morales,16861.29235,701665.1682
POLANCO III SECCION,11560,MIGUEL HIDALGO,Colonia Polanco Chapultepec,16840.39,2948318.527
POLANCO III SECCION,11560,MIGUEL HIDALGO,Polando,16840.39,11985205.92
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chapultepec Polanco,16767.78852,1512843.416
POLANCO IV SECCION,11550,MIGUEL HIDALGO,POLANCO IV SECC,16717.45471,3799255.791
POLANCO V SECCION,11560,MIGUEL HIDALGO,Chapultepec Polanco,16665.89111,2654414.671
POLANCO II SECCION,11560,MIGUEL HIDALGO,Colonia Palmas Polanco,16664.55455,3611187.69
POLANCO II SECCION,11540,MIGUEL HIDALGO,POLANCO II SECCION,16519.70377,9065782.836
POLANCO IV SECCION,11550,MIGUEL HIDALGO,POLANCO IV SECCION,16497.96266,2175742.704
POLANCO III SECCION,11550,MIGUEL HIDALGO,,16489.62667,9523368.04
POLANCO I SECCION,11510,MIGUEL HIDALGO,Chapultepec,16456.745,1468838.06
POLANCO I SECCION,11510,MIGUEL HIDALGO,Chapultepec Moraless,16456.745,1039925.405
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Moorales,16456.745,775208.695
POLANCO I SECCION,11550,MIGUEL HIDALGO,CHAPULTEPEC MORALES,16456.745,525966.3318
LOMAS DE CHAPULTEPEC III SECCION,11000,MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC III SECC,16451.94,16089435.26
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Polanco,16363.58413,2110321.487
POLANCO II SECCION,11540,MIGUEL HIDALGO,Morales Palmas,16361.53937,4715373.713
POLANCO V SECCION,11580,MIGUEL HIDALGO,,16339.97615,1824835.884
POLANCO I SECCION,11550,MIGUEL HIDALGO,Polanco,16329.02324,675748.643
POLANCO III SECCION,11000,MIGUEL HIDALGO,Polanco,16307.31,14219974.32
POLANCO III SECCION,11360,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,16307.31,489219.3
POLANCO III SECCION,11550,MIGUEL HIDALGO,Polanco-reforma,16307.31,815365.5
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chap Polanco,16307.31,7191523.71
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chap. Polanco,16307.31,309838.89
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chap.polanco,16307.31,635985.09
POLANCO III SECCION,11560,MIGUEL HIDALGO,Chapultepec Polando,16307.31,782750.88
POLANCO III SECCION,11560,MIGUEL HIDALGO,Fracto. Chapultepec-Polanco,16307.31,7093679.85
POLANCO III SECCION,11560,MIGUEL HIDALGO,Poilanco,16307.31,9490854.42
POLANCO III SECCION,11560,MIGUEL HIDALGO,Polanco 3a. Secc.,16307.31,589781.045
POLANCO III SECCION,11560,MIGUEL HIDALGO,Polanco Iii Secc.,16307.31,590028.1255
POLANCO III SECCION,11560,MIGUEL HIDALGO,Polanco lll Seccion,16307.31,554448.54
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Colonia Polanco IV SecciÃ¯Â¿Â½n.,16307.31,684907.02
POLANCO II SECCION,11510,MIGUEL HIDALGO,Polanco,16304.06,423833.756
POLANCO III SECCION,11550,MIGUEL HIDALGO,Polanco,16261.35589,1934151.053
POLANCO II SECCION,11560,MIGUEL HIDALGO,POLANCO II SECCION,16243.29883,3078587.94
POLANCO II SECCION,11800,MIGUEL HIDALGO,Lomas de Chapultepec,16241.78435,53697947.25
POLANCO V SECCION,11570,MIGUEL HIDALGO,Colonia Chapultepec Morales,16233.83095,722417.938
POLANCO I SECCION,11510,MIGUEL HIDALGO,Del Bosque,16231.71143,15848541.46
POLANCO I SECCION,11510,MIGUEL HIDALGO,Los Morales,16217.28322,2210033.808
POLANCO II SECCION,11540,MIGUEL HIDALGO,,16122.905,1068411.26
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Polanco,16122.42065,2542054.203
POLANCO IV SECCION,11570,MIGUEL HIDALGO,CHAPULTEPEC MORALES,16079.622,297968.2525
POLANCO V SECCION,11580,MIGUEL HIDALGO,1A SECC. BOSQUE DE CHAPULTEPEC,16053.14,1191945.645
POLANCO V SECCION,6470,MIGUEL HIDALGO,CHAPULTEPEC MORALES,16053.14,6902850.2
POLANCO V SECCION,11500,MIGUEL HIDALGO,Chapultepec los Morales,16053.14,7239966.14
POLANCO V SECCION,11520,MIGUEL HIDALGO,Bosques de Chapultepec,16053.14,2632714.96
POLANCO V SECCION,11560,MIGUEL HIDALGO,Bosque de Chapultepec,16053.14,4783835.72
POLANCO V SECCION,11560,MIGUEL HIDALGO,Colonia  Polanco,16053.14,722391.3
POLANCO V SECCION,11560,MIGUEL HIDALGO,POLANCO SECC V,16053.14,1589260.86
POLANCO V SECCION,11570,MIGUEL HIDALGO,Bosques de Chapultepec,16053.14,481594.2
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chalupetec Morales,16053.14,208690.82
POLANCO V SECCION,11570,MIGUEL HIDALGO,Chaputepec Morales,16053.14,1043454.1
POLANCO V SECCION,11580,MIGUEL HIDALGO,Ampli. Chapultepec Polanco,16053.14,2568502.4
POLANCO V SECCION,11580,MIGUEL HIDALGO,Ampliacion Chap Polanco,16053.14,3981179
POLANCO V SECCION,11580,MIGUEL HIDALGO,Bosque de Chapltepec,16053.14,7866359.663
POLANCO V SECCION,11580,MIGUEL HIDALGO,Bosque de Chapultep,16053.14,658178.74
POLANCO V SECCION,11580,MIGUEL HIDALGO,Bosque de Chapultepoec,16053.14,288956.52
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chap Morales,16053.14,4976473.4
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chaultepec Morales,16053.14,5169111.08
POLANCO V SECCION,11580,MIGUEL HIDALGO,COL. BOSQUE DE CHAPULTEPEC,16053.14,1324384.05
POLANCO V SECCION,11580,MIGUEL HIDALGO,Lpolanco,16053.14,593966.18
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco 5a. Secc.,16053.14,1356490.33
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco 5ta. Seccion,16053.14,5148241.998
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco Chapultepec Morales,16053.14,1139772.94
POLANCO V SECCION,11580,MIGUEL HIDALGO,POLANCO SECCION V,16053.14,2279545.88
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco Si,16053.14,48159.42
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polanco.,16053.14,2247439.6
POLANCO V SECCION,11580,MIGUEL HIDALGO,Polasnco,16053.14,1701632.84
POLANCO V SECCION,11580,MIGUEL HIDALGO,Rincon del Bosque 201 Dpto 17,16053.14,2456130.42
POLANCO V SECCION,11581,MIGUEL HIDALGO,CHAPULTEPEC MORALES,16053.14,642125.6
POLANCO I SECCION,11510,MIGUEL HIDALGO,Polanco,16051.46609,1151576.324
POLANCO II SECCION,11540,MIGUEL HIDALGO,Palmas Polanco,16008.93037,17159192.79
POLANCO V SECCION,11570,MIGUEL HIDALGO,POLANCO V SECCION,15959.38954,6265529.053
POLANCO I SECCION,11510,MIGUEL HIDALGO,,15931.66667,6926269.668
POLANCO I SECCION,11560,MIGUEL HIDALGO,Los Morales,15931.66667,873560.7933
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Chapultepec Polanco,15836.21886,1216390.035
POLANCO V SECCION,11580,MIGUEL HIDALGO,Chapultepec Polanco,15778.542,1357318.659
POLANCO IV SECCION,11550,MIGUEL HIDALGO,Palmas Polanco,15759.27167,1001494.959
POLANCO I SECCION,11510,MIGUEL HIDALGO,CHAPULTEPEC MORALES,15724.07756,1123572.306
POLANCO V SECCION,11550,MIGUEL HIDALGO,Polanco,15692.52222,4600436.35
ANZURES,11590,MIGUEL HIDALGO,Nva Anzures,15627.65,1147562.059
POLANCO II SECCION,11800,MIGUEL HIDALGO,,15604.55,25009.81
JUAREZ,6600,CUAUHTEMOC,JU REZ,15573.84,591805.92
CUAUHTEMOC,6500,CUAUHTEMOC,JUAREZ,15551.30264,88872.11319
POLANCO IV SECCION,11560,MIGUEL HIDALGO,Chap Polanco,15542.68,807962.085
POLANCO IV SECCION,11550,MIGUEL HIDALGO,REFORMA POLANCO,15468.15137,1553855.392
POLANCO II SECCION,11000,MIGUEL HIDALGO,Lomas de Chapultepec,15465.20573,1114602.026
POLANCO II SECCION,11540,MIGUEL HIDALGO,Polanco,15436.31725,1286593.678
POLANCO IV SECCION,11560,MIGUEL HIDALGO,POLANCO CHAPULTEPEC,15398.61185,1197964.046
POLANCO II SECCION,11560,MIGUEL HIDALGO,Palmitas,15379.11143,6381968.7
POLANCO II SECCION,11560,MIGUEL HIDALGO,,15369.81667,689156.5367
SANTA FE CENTRO CIUDAD,1376,ALVARO OBREGON,SANTA FE CENTRO CIUDAD,15318.61,29088396.92
SANTA FE CENTRO CIUDAD,1210,ALVARO OBREGON,SANTA FE CENTRO CIUDAD,15318.61,2159628.318
SANTA FE,0,ALVARO OBREGON,LOMAS DE SANTA FE,15318.61,79656772
SANTA FE,1219,ALVARO OBREGON,LOMAS DE STA FE,15318.61,61810591.35
SANTA FE,9040,ALVARO OBREGON,Santa Fe,15318.61,5622374110
SANTA FE CENTRO CIUDAD,,ALVARO OBREGON,CENTRO DE CIUDAD,15318.61,311478.4033
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Cento de Cd Santa Fe,15318.61,2872239.375
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Centro de Cioudad,15318.61,30637.22
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,CENTRO DE CIUDAD  STA. FE,15318.61,472579.1185
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Centro de Ciudad Santa Fe,15318.61,76593.05
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Centro de Ciudad Sta. Fe,15318.61,76593.05
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,CENTRO DE LA CIUDAD,15318.61,30637.22
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Centro de la Ciudad de Santa Fe,15318.61,750611.89
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Centro de Santa Fe,15318.61,668657
SANTA FE CENTRO CIUDAD,0,ALVARO OBREGON,Santa Fe,15318.61,658700.23
SANTA FE CENTRO CIUDAD,1210,ALVARO OBREGON,CENTRO DE CIUDAD,15318.61,298176.7437
SANTA FE CENTRO CIUDAD,1210,ALVARO OBREGON,Centro de Ciudad Sta Fe,15318.61,68933.745
SANTA FE CENTRO CIUDAD,1210,ALVARO OBREGON,Centro de Ciudad Zedec Santa Fe,15318.61,76593.05
SANTA FE CENTRO CIUDAD,1210,ALVARO OBREGON,Centro de Cuidadzedec Santa Fe,15318.61,472579.1185
SANTA FE CENTRO CIUDAD,1219,ALVARO OBREGON,Santa Fe,15318.61,2205879.84
